uri,track_name,artist_name,lyrics
spotify:track:6vKjJqK3XRQsRn91dsUWAY,I Need Some Money,John Lee Hooker,"The best thing in life is free
But you can give it to the birds and bees
I need some money, need some money, oh, yeah
What I want

Your love give me such a thrill
But your lovin' don't pay my bills
I need money, need some money, oh, yeah
What I want
I need some money, honey
I need some money right away
I need some money so bad
I need some money, oh, yeah
What I want

Money don't get everything, it's true
What it don't buy that I can't use
I need some money, I need money, yeah
What I want

I need some money, honey
I need some money so bad
All of my bills behind
I need some money right now
I know your lovin' so good, baby
I need some money, oh, yeah
What I want

I need some money
I need some money
What I wantYou might also likeEmbed"
spotify:track:2NeKjEryWM5VZToeosUsUu,The Girl of My Best Friend,Elvis Presley,"The way she walks, the way she talks
How long can I pretend?

Oh, I can't help it, I'm in love
With the girl of my best friend

Her lovely hair, her skin so fair
I could go on and never end
Oh, I can't help it, I'm in love
With the girl of my best friend

I want to tell her how I love her so
And hold her in my arms, but then
What if she got real mad and told him so?
I could never face either one again

The way they kiss, their happiness
Will my aching heart ever mend?

Or will I always be in love
With the girl of my best friend?

Never end
Will it ever end?
Please let it end
Will it ever end?You might also likeEmbed"
spotify:track:58Genya9wsQXqfiCYdd5qT,Somethin' Else,Eddie Cochran," look a-there, here she comes
There comes that girl again
Wanted to date her since I don't know when
But she don't notice me when I pass
She goes with all the guys from outa my class
But that can't stop me from a-thinkin' to myself
She's sure fine lookin' man, she's something else
Hey, look a-there, across the street
There's a car made just for me
To own that car would be a luxery
But right now I can't afford the gas
A brand new convertible is outa my class
But that can't stop me from athinkin' to myself
That car's fine lookin' man, it's something else
Hey, look ahere, just wait and see
Worked hard and saved my dough
I'll buy that car that I been wanting so
Get me that girl and we'll go ridin' around
We'll look real sharp with the flight top down
I keep right on a-dreamin' and a-thinkin' to myself
When it all comes true man, wow, that's something else
Look a-there, what's all this
Never thought I'd do this before
But here I am a-knockin' on her door
My car's out front and it's all mine
Just a forty-one ford, not a fifty-nine
I got that girl an' I'm a-thinkin' to myself
She's sure fine lookin' man, wow, she's something elseYou might also likeEmbed"
spotify:track:0JgMWvvUhH6UyWOG2oeG1b,(Somebody) Ease My Troublin' Mind,Sam Cooke," wish somebody would come and ease my troublin' mind
I wish somebody would come and ease my troublin' mind
Oh yes, I do
Why won't somebody come and ease my troublin' mind
I sure wish somebody would come and ease my troublin' mind
I wish my baby would come and tell me everything's allright
I sure wish my baby would come and tell me everything is still allright
Oh yes, I do
They tell me when you tell somebody your troubles
Trouble fly away from you
I'm looking, looking, looking for somebody
I can tell my troubles to
Why won't somebody come and ease my troublin' mind
I sure wish somebody would come and ease my troublin' mind
Oh yeahYou might also likeEmbed"
spotify:track:7jfh2zpf9TdINgLptCWKKT,Christmas Auld Land Syne,Bobby Darin,"hen mistletoe and tinsel glow
Paint a yuletide valentine
Back home I go to those I know
For a Christmas auld lang syne
And as we gather 'round the tree
Our voices all combine
In sweet accord to thank the Lord
For a Christmas auld lang syne
When sleigh bells ring and choirs sing
And the children's faces shine
With each new toy we share their joy
With a Christmas auld lang syne
We sing His praise this day of days
And pray next year this time
We'll all be near to share the cheer
Of a Christmas auld lang syne
In sweet accord we thank the Lord
For a Christmas auld lang syneYou might also likeEmbed"
spotify:track:0CIc4SaHV9RaQvXscSlVFH,My Girl Josephine,Fats Domino,"ello Josephine
How do you do
Do you remember me baby?
Like i remember you
You used to laugh at me and holler: Woo Woo Woo
I used to walk you home
I used to hold your hand
You used to use my umbrella
Every time it rained
You used to cry so much..it was a cryin' shame
You used to live over yonder
By the railroad track
When it rained you couldn't walk..i used to tote you on my back
Now you try to make believe..it was a thrill at that
Hello Josephine
How do you do
Do you remember me baby?
Like i remember you
You used to laugh at me and holler: Woo Woo Woo
(fade out)You might also likeEmbed"
spotify:track:5ttys6S3vGWCgOpiuB5axN,"Happy Birthday, Sweet Sixteen",Neil Sedaka,"ra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tonight's the night
I've waited for
Because you're not a baby anymore
You've turned into the prettiest girl I've ever seen
Happy birthday sweet sixteen
What happened to
That funny face
My little tomboy now wears satins and lace
I can't believe my eyes
You're just a teenage dream
Happy birthday sweet sixteen
When you were only six
I was your big brother
Then when you were ten
We didn't like each other
When you were thirteen
You were my funny valentine
But since you've grown up
Your future is sewn up
From now on you're gonna be mine so
If I should smile with sweet surprise
It's just that you've grown up before my very eyes
You've turned into the prettiest girl I've ever seen
Happy birthday sweet sixteen
If I should smile with sweet surprise
It's just that you've grown up before my very eyes
You've turned into the prettiest girl I've ever seen
Happy birthday sweet sixteen
You might also likeTra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la2Embed"
spotify:track:1mE8QtaSFxEQnr3SgxmIRf,Running Bear,Johnny Preston,"*vocalizations*

On the bank of the river
Stood Running Bear, young Indian brave
On the other side of the river
Stood his lovely Indian maid
Little White Dove was her name
Such a lovely sight to see
But their tribes fought with each other
So, their love could never be
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

He couldn't swim the raging river
'Cause the river was too wide
He couldn't reach Little White Dove
Waiting on the other side
In the moonlight he could see her
Throwing kisses 'cross the waves
Her little heart was beating faster
Waiting there for her brave

Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

Running Bear dove in the water
Little White Dove did the same
And they swam out to each other
Through the swirling stream they came
As their hands touched and their lips met
The raging river pulled them down
Now, they'll always be together
In that happy huntin' ground
You might also like
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

*vocalizations*1Embed"
spotify:track:46PXkh7fx2Fgo0049zWLZJ,I'm Through With Love,Dion & The Belmonts,"'m through with love
I'll never fall again
Said adieu to love
Don't ever call again
For I must have you
Or no one
And so I'm through with love
I've locked my heart
I'll keep my feelings in
I have stopped my heart
With icy frigidaire
And I mean to care for no one
Because I'm through with love
Why did you leave me
To think you could care
You didn't need me
For you had your share
Of slaves around you
To hound you and swear
With deep emotion devotion to you
Goodbye to spring and all it meant to me
It can never bring the things that used to be
For I must have you or no one
And so I'm through with loveYou might also likeEmbed"
spotify:track:1kSZDiVXvChkCRyrbWBmpg,I Fought The Law,The Crickets,"-breakin rocks in the hot sun
I fought the law and the law won
I fought the law and the law won
I miss my baby and good fun
I fought the law and the law won
I fought the law and the law won
I've left my baby and it feels so bad
Guess my race is run
She's the best girl that I ever had
I fought the law and the law won
I fought the law and the law won
Robbin people with a zip-gun
I fought the law and the law won
I fought the law and the law won
I needed money cause I had none
I fought the law and the law won
I fought the law and the law won
I've left my baby and it feels so bad
Guess my race is run
She's the best girl that I've ever had
I fought the law and the law won
I fought the law and the law wonYou might also likeEmbed"
spotify:track:3AuVZyDw1VhjjLfHZR4ba3,House Of The Rising Sun,Joan Baez,"There is a house in New Orleans
They call the Rising Sun
And it's been the ruin for many poor girl
And me, oh God, for one

If I had listened to what my mother said
I'd have been at home today
But I was young and foolish, oh God
Let a rambler lead me astray
Go tell my baby sister
""Don't do what I have done""
But shun that house in New Orleans
They call the Rising Sun

I'm going back to New Orleans
My race is almost run
I'm going back to spend my life
Beneath that Rising SunYou might also like1Embed"
spotify:track:1miwQNADgNEBikbUBful7z,Road Runner,Bo Diddley,"I'm a road runner, honey
Beep, beep
Beep, beep
Ah, beep, beep

I'm a road runner honey
And you can't keep up with me
I'm a road runner honey
And you can't keep up with me
Come on, let's race (Ahh)
Baby baby, you and me
Here I come
Beep, beep

Move over, honey, let me by
Move over, baby, let this man by
I'm going to show you, baby (Ahh)
Look out your head
Going to put some dirt in your eye
Here I go
Oh, yeah, how am I doing?
Beep, beep
Take my hand, baby
I'm going to prove to you
That I'm a road running man
I want to show you something
That I'm the fastest in the land
Now, let me by (Ahh)
Beep, beep
Oh, yeah, you said you's fast
Ha ha ha ha but it don't look like you going to last
Goodbye, I've got to put you down
I'll see you someday (Ahh)
Baby, somewhere hanging aroundYou might also likeEmbed"
spotify:track:49NVj7O2MdGo1RxttLgfvK,El Rock de la Cárcel - Jailhouse Rock [Remasterizado],Los Teen Tops,
spotify:track:7LhYCokNBDYsVF0A0x95Pc,Big Boss Man,Jimmy Reed,"Big boss man, can't you hear me when I call?
Big boss man, can't you hear me when I call?
Well, you ain't so big, you just tall, that's all

You got me workin', boss man, workin' 'round the clock
I wanna little drink of water, but you won't let Jimmy stop
Big boss man, can't you hear me when I call?
Well, you ain't so big, you just tall, that's all

Well, I'm gonna get me a boss man, one gonna treat me right
Work hard in the daytime, rest easy at night
Big boss man, can't you hear me when I call?
Well, you ain't so big, you just tall, that's allYou might also likeEmbed"
